Causa_defuncion,Total_defunciones_2018
Neumonía,22594
Neumonía bacteriana,1970
Bronconeumonía,1896
Neumonía lobar,965
Neumonía congénita,560
Neumonitis debida a aspiración de alimento o vómito,363
Neumonía hipostática,349
Influenza con neumonía,196
Bronquitis y neumonitis debidas a inhalación de gases,91
Neumotórax originado en el período perinatal,89
Absceso del pulmón sin neumonía,83
Neumoconiosis,65
Neumotórax,60
Absceso del pulmón con neumonía,57
Neumonía viral,44
Neumonía debida a Pseudomonas,31
Neumotórax espontáneo a presión,22
Otras neumonías bacterianas,21
Neumoconiosis debida a otros polvos que contienen sílice,17
Neumonía debida a varicela,15
Neumonía debida a estafilococos,15
Otras neumonías,15
Neumonitis debida a hipersensibilidad a polvo orgánico no especificado,14
Otros tipos de neumotórax espontáneo,11
Meningitis  neumocócica,7
Neumonía debida a Klebsiella pneumoniae,7
Neumonía debida a otras bacterias aeróbicas gramnegativas,7
Neumocistosis,6
Neumoconiosis de los mineros del carbón,5
Neumonía debida a Streptococcus pneumoniae,4
Neumonitis debida a virus citomegálico,4
Neumonía debida a otros microorganismos infecciosos especificados,4
Neumonía debida a otros virus,3
Neumonitis debida a aspiración de otros sólidos y líquidos,3
Neumonía debida a Haemophilus influenzae,3
Neumonitis debida a aspiración de aceites y esencias,3
Neumonitis de la ventilación debida al acondicionador y humidificador del aire,2
Neumonía debida a virus parainfluenza,2
Neumonía congénita debida a otros organismos,2
Neumonía debida a clamidias,2
Neumonía debida a Escherichia coli,2
Neumonía congénita debida a Chlamydia,1
Neumonía debida a adenovirus,1
Neumomediastino originado en el período perinatal,1
Neumopericardio originado en el período perinatal,1
Neumoconiosis debida al asbesto y a otras fibras minerales,1
Neumonitis debidas a hipersensibilidad a otros polvos orgánicos,1
Neumoconiosis asociada con tuberculosis,1
Neumonía debida a  metaneumovirus humano,1
Otros neumotórax,1
Neumonía congénita debida a otros agentes bacterianos,1
